game,date,player 1,player 2,winner
0,29,3497,1112,p2
1,29,3977,2276,p2
2,29,852,4337,p2
3,29,3846,2861,p2
4,29,2664,2474,p1
5,29,532,3497,p2
6,29,2474,3846,DRAW
7,29,1468,1746,p1
8,29,1838,2664,p2
9,29,2760,5481,p1
10,29,4337,1112,p2
11,29,3480,1432,p2
12,29,784,3977,p2
13,29,2474,3497,p1
14,29,1010,2285,p1
15,29,5862,291,p2
16,29,1746,2664,p2
17,29,2778,3766,DRAW
18,29,3846,463,p2
19,29,1047,267,p1
20,29,2760,5175,p1
21,29,4337,1468,p2
22,29,4685,542,p1
23,29,3977,5842,p1
24,29,3497,86,DRAW
25,29,291,1010,p1
26,29,3766,463,p2
27,29,2474,1160,p1
28,29,1047,76,p1
29,29,463,3901,p1
30,29,2760,1468,p2
31,29,1043,5956,p1
32,29,4711,5435,p2
33,29,3635,1879,DRAW
34,29,4685,3497,p2
35,29,5407,86,p2
36,29,3919,1010,p2
37,29,5969,291,p1
38,29,1468,463,p1
39,29,376,4685,p1
40,29,1223,1943,p2
41,29,4731,76,p2
42,29,1047,2760,p1
43,29,5956,2665,p2
44,29,3173,4364,p2
45,29,1943,3152,p1
46,29,463,4685,p1
47,29,376,1468,DRAW
48,29,5756,291,p1
49,29,2665,2341,p1
50,29,5407,1842,p1
51,29,1047,4095,p1
52,29,1010,419,p1
53,29,63,45,p2
54,29,2950,5407,p2
55,29,3176,1943,p2
56,29,291,376,p1
57,29,2869,3977,p1
58,29,2342,2581,p2
59,29,3718,1047,p2
60,29,3846,5756,p2
61,29,3718,3846,DRAW
62,29,4769,5136,DRAW
63,29,3846,76,DRAW
64,29,5767,267,p1
65,29,4084,63,p2
66,29,5407,4727,DRAW
67,29,3846,5756,DRAW
68,29,3440,2730,p2
69,29,2581,3977,p1
70,29,2335,376,p2
71,29,1838,5863,p2
72,29,5767,5546,p2
73,29,1051,419,p1
74,29,1047,2342,p1
75,29,3118,2869,p2
76,29,1851,291,p2
77,29,1841,3933,p1
78,29,1054,3718,p1
79,29,86,3957,p1
80,29,3014,5767,p2
81,29,3046,4084,p2
82,29,542,1024,p1
83,29,1010,1943,p2
84,29,3729,5767,p1
85,29,5814,3440,p2
86,29,3977,4727,p2
87,29,3766,376,p1
88,29,2335,3012,p2
89,29,291,1054,DRAW
90,29,5752,5546,p1
91,29,1047,2665,p2
92,29,1412,267,p2
93,29,3118,2869,p2
94,29,1010,5577,p2
95,29,2730,3718,p1
96,29,5034,475,p1
97,29,3142,2665,p2
98,29,5783,3588,p2
99,29,3046,3926,DRAW
100,29,302,5767,p2
101,29,3440,1943,p1
102,29,4727,3977,p1
103,29,291,90,p1
104,29,3019,3977,p2
105,29,975,5546,DRAW
106,29,1943,3440,p2
107,29,3118,5862,p2
108,29,5577,2470,p1
109,29,267,3729,p2
110,29,1428,302,p1
111,29,475,2730,p2
112,29,3846,2665,p2
113,29,3176,5407,p2
114,29,1428,5314,DRAW
115,29,3878,1223,p1
116,29,4711,5674,p2
117,29,5767,5612,p1
118,29,5314,1428,DRAW
119,29,5783,5311,p1
120,29,2665,5407,p1
121,29,3933,126,p2
122,29,5767,1428,p2
123,29,598,291,p2
124,29,3019,2869,p1
125,29,2994,3118,DRAW
126,29,3846,126,DRAW
127,29,2335,5577,p2
128,29,4702,1943,p2
129,29,2665,5407,p1
130,29,302,2418,DRAW
131,29,2600,2730,DRAW
132,29,3977,1841,p2
133,29,5752,794,p1
134,29,1362,3176,p2
135,29,5765,2034,DRAW
136,29,3846,5577,p2
137,29,2752,5783,p1
138,29,3933,1428,p2
139,29,3213,1039,p2
140,29,2783,2994,DRAW
141,29,126,2665,p2
142,29,598,2869,p2
143,29,3729,2534,p1
144,29,291,4702,p1
145,29,302,3118,p2
146,29,2730,1025,p1
147,29,3878,3977,p1
148,29,4711,2341,p1
149,29,5577,1841,p1
150,29,1428,2752,p1
151,29,1698,2090,p2
152,29,152,5863,p1
153,29,5160,291,p2
154,29,5612,1025,DRAW
155,29,179,4571,p2
156,29,5783,238,DRAW
157,29,3211,3771,p2
158,29,1039,3213,p2
159,29,2994,2783,p2
160,29,2665,126,p1
161,29,3118,302,p1
162,29,3977,3878,DRAW
163,29,2730,5577,p2
164,29,1841,1428,p2
165,29,1010,4371,p2
166,29,834,2344,p1
167,29,5006,11,p1
168,29,5160,1039,p2
169,29,2534,1428,p2
170,29,5969,3142,p2
171,29,3563,5863,p2
172,29,5783,3808,DRAW
173,29,3213,4546,p1
174,29,807,3031,p1
175,29,2340,2783,DRAW
176,29,1362,1129,p1
177,29,126,4314,p1
178,29,5612,2665,p2
179,29,2994,4711,p1
180,29,302,2293,p2
181,29,3118,52,p1
182,29,2490,3878,p1
183,29,291,2656,p1
184,29,1429,4702,p1
185,29,2730,3025,p1
186,29,4029,1841,p2
187,29,1396,5820,p1
188,29,4168,1039,DRAW
189,29,5969,1428,p2
190,29,3977,2665,p2
191,29,5783,5659,p1
192,29,3031,3440,DRAW
