game,date,player 1,player 2,winner
0,29,3497,1112,2
1,29,3977,2276,2
2,29,852,4337,2
3,29,3846,2861,2
4,29,2664,2474,0
5,29,532,3497,2
6,29,2474,3846,1
7,29,1468,1746,0
8,29,1838,2664,2
9,29,2760,5481,0
10,29,4337,1112,2
11,29,3480,1432,2
12,29,784,3977,2
13,29,2474,3497,0
14,29,1010,2285,0
15,29,5862,291,2
16,29,1746,2664,2
17,29,2778,3766,1
18,29,3846,463,2
19,29,1047,267,0
20,29,2760,5175,0
21,29,4337,1468,2
22,29,4685,542,0
23,29,3977,5842,0
24,29,3497,86,1
25,29,291,1010,0
26,29,3766,463,2
27,29,2474,1160,0
28,29,1047,76,0
29,29,463,3901,0
30,29,2760,1468,2
31,29,1043,5956,0
32,29,4711,5435,2
33,29,3635,1879,1
34,29,4685,3497,2
35,29,5407,86,2
36,29,3919,1010,2
37,29,5969,291,0
38,29,1468,463,0
39,29,376,4685,0
40,29,1223,1943,2
41,29,4731,76,2
42,29,1047,2760,0
43,29,5956,2665,2
44,29,3173,4364,2
45,29,1943,3152,0
46,29,463,4685,0
47,29,376,1468,1
48,29,5756,291,0
49,29,2665,2341,0
50,29,5407,1842,0
51,29,1047,4095,0
52,29,1010,419,0
53,29,63,45,2
54,29,2950,5407,2
55,29,3176,1943,2
56,29,291,376,0
57,29,2869,3977,0
58,29,2342,2581,2
59,29,3718,1047,2
60,29,3846,5756,2
61,29,3718,3846,1
62,29,4769,5136,1
63,29,3846,76,1
64,29,5767,267,0
65,29,4084,63,2
66,29,5407,4727,1
67,29,3846,5756,1
68,29,3440,2730,2
69,29,2581,3977,0
70,29,2335,376,2
71,29,1838,5863,2
72,29,5767,5546,2
73,29,1051,419,0
74,29,1047,2342,0
75,29,3118,2869,2
76,29,1851,291,2
77,29,1841,3933,0
78,29,1054,3718,0
79,29,86,3957,0
80,29,3014,5767,2
81,29,3046,4084,2
82,29,542,1024,0
83,29,1010,1943,2
84,29,3729,5767,0
85,29,5814,3440,2
86,29,3977,4727,2
87,29,3766,376,0
88,29,2335,3012,2
89,29,291,1054,1
90,29,5752,5546,0
91,29,1047,2665,2
92,29,1412,267,2
93,29,3118,2869,2
94,29,1010,5577,2
95,29,2730,3718,0
96,29,5034,475,0
97,29,3142,2665,2
98,29,5783,3588,2
99,29,3046,3926,1
100,29,302,5767,2
101,29,3440,1943,0
102,29,4727,3977,0
103,29,291,90,0
104,29,3019,3977,2
105,29,975,5546,1
106,29,1943,3440,2
107,29,3118,5862,2
108,29,5577,2470,0
109,29,267,3729,2
110,29,1428,302,0
111,29,475,2730,2
112,29,3846,2665,2
113,29,3176,5407,2
114,29,1428,5314,1
115,29,3878,1223,0
116,29,4711,5674,2
117,29,5767,5612,0
118,29,5314,1428,1
119,29,5783,5311,0
120,29,2665,5407,0
121,29,3933,126,2
122,29,5767,1428,2
123,29,598,291,2
124,29,3019,2869,0
125,29,2994,3118,1
126,29,3846,126,1
127,29,2335,5577,2
128,29,4702,1943,2
129,29,2665,5407,0
130,29,302,2418,1
131,29,2600,2730,1
132,29,3977,1841,2
133,29,5752,794,0
134,29,1362,3176,2
135,29,5765,2034,1
136,29,3846,5577,2
137,29,2752,5783,0
138,29,3933,1428,2
139,29,3213,1039,2
140,29,2783,2994,1
141,29,126,2665,2
142,29,598,2869,2
143,29,3729,2534,0
144,29,291,4702,0
145,29,302,3118,2
146,29,2730,1025,0
147,29,3878,3977,0
148,29,4711,2341,0
149,29,5577,1841,0
150,29,1428,2752,0
151,29,1698,2090,2
152,29,152,5863,0
153,29,5160,291,2
154,29,5612,1025,1
155,29,179,4571,2
156,29,5783,238,1
157,29,3211,3771,2
158,29,1039,3213,2
159,29,2994,2783,2
160,29,2665,126,0
161,29,3118,302,0
162,29,3977,3878,1
163,29,2730,5577,2
164,29,1841,1428,2
165,29,1010,4371,2
166,29,834,2344,0
167,29,5006,11,0
168,29,5160,1039,2
169,29,2534,1428,2
170,29,5969,3142,2
171,29,3563,5863,2
172,29,5783,3808,1
173,29,3213,4546,0
174,29,807,3031,0
175,29,2340,2783,1
176,29,1362,1129,0
177,29,126,4314,0
178,29,5612,2665,2
179,29,2994,4711,0
180,29,302,2293,2
181,29,3118,52,0
182,29,2490,3878,0
183,29,291,2656,0
184,29,1429,4702,0
185,29,2730,3025,0
186,29,4029,1841,2
187,29,1396,5820,0
188,29,4168,1039,1
189,29,5969,1428,2
190,29,3977,2665,2
191,29,5783,5659,0
192,29,3031,3440,1
193,29,2783,3213,2
194,29,1362,126,0
195,29,5473,4166,0
196,29,179,4371,0
197,29,5767,5659,1
198,29,2524,4546,0
199,29,3118,4222,1
200,29,2490,1047,2
201,29,5597,1943,1
202,29,2994,1429,2
203,29,2730,5814,0
204,29,3620,975,2
205,29,3676,4082,2
206,29,5612,2869,2
207,29,1841,2589,0
208,29,4029,493,0
209,29,756,2665,2
210,29,1047,2382,0
211,29,5820,152,0
212,29,1039,1428,1
213,29,3031,3977,1
214,29,5783,3219,0
215,29,5765,5473,1
216,29,969,3142,1
217,29,179,2783,1
218,29,5659,2604,1
219,29,4222,1806,1
220,29,3049,2027,2
221,29,2730,1943,2
222,29,2994,4168,2
