game,date,player 0,score 0,player 1,score 1,player 2,score 2,player 3,score 3,player 4,score 4,player 5,score 5,player 6,score 6,player 7,score 7
0,0,3485,1,1435,0,5262,5,1431,1,,,,,,,,
1,0,5262,8,1438,9,1465,2,5283,5,3485,2,,,,,,
2,0,3485,2,5283,5,1465,2,5262,9,,,,,,,,
3,0,5262,4,3485,2,3486,5,,,,,,,,,,
4,0,3486,8,3488,9,3485,4,5262,9,1438,9,1443,2,1465,2,,
5,0,3485,0,3501,1,3499,0,,,,,,,,,,
6,0,5262,8,3504,1,3494,0,3521,1,3502,2,3512,5,,,,
7,0,3519,5,3543,8,3523,3,3524,5,5262,9,3528,0,3553,1,,
8,0,3495,5,3542,5,5262,8,3525,5,3516,3,,,,,,
9,1,3582,3,3529,2,1443,8,1434,2,3681,5,3731,6,,,,
10,1,3732,2,3724,3,3635,3,3579,8,3738,2,,,,,,
11,1,3497,2,1443,8,33,1,1434,2,31,5,3681,3,,,,
12,1,1438,9,3635,1,3521,7,3724,6,3582,2,3579,8,,,,
13,1,3543,5,3731,2,3589,7,3604,7,3529,5,,,,,,
14,1,1443,7,3521,8,3579,7,3703,4,3645,9,,,,,,
15,1,33,0,1434,0,37,1,,,,,,,,,,
16,1,3579,8,3521,5,1443,8,3529,7,3703,5,3645,9,3526,3,,
17,1,3731,3,34,0,3739,0,1440,5,1432,7,37,2,,,,
18,1,32,2,33,1,3529,7,3703,6,3507,4,1511,9,,,,
19,1,1438,9,3504,7,3521,7,3579,8,3645,7,3526,4,3510,9,,
20,1,36,7,40,5,3492,3,38,8,3529,5,33,0,3703,9,,
21,1,3504,1,1438,9,3521,0,3579,0,3510,2,3526,1,3645,1,,
22,1,3519,6,1440,9,3504,8,1443,3,3703,5,3507,5,3510,9,,
23,1,3507,1,3504,3,3529,1,1440,4,3521,3,1432,6,3489,5,,
24,1,3519,3,3526,2,3563,5,3635,1,1438,9,1443,4,3510,0,,
25,1,45,2,43,1,35,2,3728,5,41,1,,,,,,
26,1,1440,0,3521,5,1443,5,3529,2,,,,,,,,
27,5,3002,3,3973,1,3541,7,464,1,3670,5,2035,6,,,,
28,5,5361,0,3912,1,4058,5,4659,9,1033,4,,,,,,
29,5,5319,4,2999,1,4039,5,,,,,,,,,,
30,5,1087,7,5718,7,5361,0,100,1,2744,4,3499,8,,,,
31,5,3499,2,2744,1,1438,3,75,1,,,,,,,,
